0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T101	39.0	0.97	14.40	0.05	608.00	6.98	0.80	0.10	1.50	3	3.00	0	0	0.00	1	0	0	0	0	0	0	1	0	0
T102	10.0	1.45	14.00	2.99	557.67	7.00	< 0.5	0.07	7.00	2	2.00	2	4	0.69	2	100	0	5	0	0	0	1	2	2
T104	15.8	1.07	12.50	1.28	592.00	7.06	1.90	0.10	1.50	3	3.00	0	0	0.00	3	0	0	2	0	0	0	1	0	0
T105	9.3	1.29	14.40	3.29	689.00	7.02	3.90	0.20	1.50	3	3.00	1	1	0.00	4	0	100	6	0	0	0	1	0	0
T106	11.0	4.02	14.20	2.6	846.00	7.06	0.40	0.40	7.33	3	3.00	3	7	0.33	1	86	14	9	0	5	0	1	0	0
T123	14.0	2.18	12.80	1.65	348.33	7.29	< 0.5	0.23	3.83	1	1.00	2	3	0.63	4	0	100	2	0	0	0	1	0	0
T124	13.0	1.97	14.90	1.95	768.33	7.10	0.33	0.10	8.67	3	3.00	1	2	0.00	4	0	0	5	0	0	0	1	0	2
T125	11.8	3.64	14.97	2.32	507.00	7.23	< 0.5	0.10	8.67	1	1.00	3	103	0.65	4	0	100	4	0	0	0	1	0	65
T128	9.5	5.5	13.17	3.21	727.67	7.03	< 0.5	0.17	9.67	2	2.00	2	13	0.67	4	0	100	11	0	0	0	1	0	5
T129	8.5	2.31	12.17	3.67	597.33	7.27	< 0.5	2.30	8.00	1	1.00	4	124	0.31	4	91	9	6	0	76	0	1	0	0
T320	9.0	2.62	12.64	3.43	389.67	7.22	< 0.5	0.12	1.50	1	1.00	1	252	0.00	2	0	100	6	0	0	0	1	0	0
T322	10.0	3.45	15.87	2.99	330.67	7.30	< 0.5	0.25	3.17	2	2.00	2	6	0.00	2	0	100	8	0	0	0	1	0	0
T402	9.0	3.68	12.43	3.43	733.00	6.97	< 0.5	0.33	14.00	2	2.00	4	4	1.39	4	50	50	9	0	1	0	1	0	1
T411	10.9	5.74	11.33	2.64	518.67	7.02	< 0.5	0.07	12.00	3	3.00	2	34	0.00	1	0	100	11	0	0	0	1	0	0
T412	10.0	4.47	11.40	2.99	618.00	7.06	< 0.5	0.20	13.00	1	1.00	4	6	1.04	1	100	0	6	2	0	1	1	0	1
T517	9.0	2.84	12.80	3.43	623.67	6.94	< 0.5	0.20	12.67	2	1.33	1	5	0.00	2	100	0	8	0	5	0	1	0	0
T524	9.0	1.77	11.53	3.43	597.00	6.85	< 0.5	0.10	8.33	2	1.67	2	275	0.06	2	99	1	6	0	0	0	1	272	0
T401	11.0	8.9	14.17	2.6	760.33	7.21	0.67	0.08	1.50	2	1.67	1	8	0.00	1	0	100	10	0	0	0	1	0	0
T109	13.7	4.86	14.13	1.76	765.67	7.25	0.43	0.07	9.00	1	1.00	4	38	0.89	4	92	8	4	6	27	0	1	0	2
T108	12.0	6.12	14.93	2.26	788.67	7.34	0.25	0.08	14.67	2	2.00	4	25	1.09	4	79	21	8	0	14	0	1	1	6
T114	12.8	8.25	15.43	2.01	651,.00	6.15	0.45	0.07	14.67	1	1.00	4	171	0.83	2	13	88	6	2	6	0	1	0	107
T115	13.5	4.83	14.83	1.81	587.67	7.45	2.15	0.53	10.67	1	1.00	4	23	1.01	4	89	11	4	0	15	0	1	2	4
T117	13.0	6.24	17.00	1.95	738.67	7.33	0.25	0.12	5.17	3	3.00	5	76	0.69	4	92	8	8	0	64	0	1	1	3
T118	13.7	8.45	16.10	1.76	763.67	7.48	0.25	0.20	8.33	1	1.33	4	11	1.24	4	38	63	6	0	2	0	1	0	3
T112	12.0	6.87	14.47	2.26	741.33	7.31	1.25	0.10	3.83	2	1.67	4	204	0.49	4	100	0	8	0	171	0	1	31	1
T111	8.9	5.75	13.37	3.48	610.00	7.32	0.25	0.10	7.67	3	2.67	4	96	0.92	4	77	23	14	0	0	11	1	62	1
T113	11.0	3.35	17.53	2.6	628.33	7.31	0.25	0.07	2.00	1	1.00	1	1	0.00	4	0	100	5	0	0	0	1	0	0
3Kalmitw	15.5	6.44	15.27	1.34	679.33	7.39	0.75	0.12	8.00	1	1.00	3	13	0.93	4	77	23	3	0	8	2	1	0	0
2Windhor	15.2	8.64	15.77	1.34	833.33	7.29	1.02	0.22	2.33	2	2.33	4	353	0.74	4	20	80	6	0	19	48	1	0	12
1F-Lust-	15.2	5.95	17.33	1.34	753.67	7.34	0.37	0.10	10.67	2	2.33	3	630	0.72	1	65	35	5	10	0	402	1	0	0
T107	10.1	4.9	16.17	2.95	1163.33	7.29	0.40	0.30	10.33	1	1.00	3	130	0.71	1	66	34	7	0	84	0	1	0	2
NOM-011	14.9	3.42	10.70	1.47	673.00	7.36	0.85	0.22	1.33	1	1.00	1	15	0.00	4	100	0	3	0	15	0	2	0	0
NOM-017	15.0	7.2	10.90	1.45	624.00	7.49	0.25	0.08	2.67	3	3.00	6	506	1.15	1	97	3	7	41	299	119	2	0	2
SOM-020	15.0	5.81	10.67	1.45	726.33	7.38	0.25	0.05	6.33	1	1.00	4	9	1.21	1	50	50	3	3	1	0	2	0	1
SOM-018	27.0	12.75	10.73	0.26	777.67	7.47	173.03	0.18	3.50	3	3.00	2	31	0.32	4	90	10	2	0	28	0	2	0	0
SWM-005	15.5	8.72	10.47	1.34	554.33	7.38	1.90	0.05	1.33	2	2.33	3	358	0.69	1	26	74	6	0	76	16	2	0	0
NWM-009	15.0	10.69	10.83	1.45	637.67	7.50	3.87	0.05	2.33	2	2.33	4	90	0.82	1	43	57	7	2	36	0	2	0	1
NWM-006	14.8	5	10.70	1.49	672.00	7.48	0.33	0.05	2.33	1	1.00	3	16	0.74	1	86	14	3	0	12	0	2	0	2
NOM-014	15.0	9.92	10.53	1.45	623.00	7.51	0.78	0.20	2.00	1	1.33	3	23	1.02	4	67	33	5	0	12	0	2	0	5
